Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    141.67     0.00        1     0.00     0.00  Abc_Print
  0.00    141.67     0.00        1     0.00   141.41  Abc_RealMain
  0.00    141.67     0.00        1     0.00     0.00  Abc_SclLoad
  0.00    141.67     0.00        1     0.00    35.35  Abc_Stop
  0.00    141.67     0.00        1     0.00     0.00  Abc_UtilsGetVersion
  0.00    141.67     0.00        1     0.00    35.35  Abc_UtilsSource
  0.00    141.67     0.00        1     0.00     0.00  Aig_RManQuit
  0.00    141.67     0.00        1     0.00     0.00  Amap_LibFree
  0.00    141.67     0.00        1     0.00     0.00  Bac_End
  0.00    141.67     0.00        1     0.00     0.00  Bac_Init
  0.00    141.67     0.00        1     0.00     0.00  Cba_End
  0.00    141.67     0.00        1     0.00     0.00  Cba_Init
  0.00    141.67     0.00        1     0.00     0.00  CmdCommandSource
  0.00    141.67     0.00        1     0.00     0.00  CmdFileOpen
  0.00    141.67     0.00        1     0.00     0.00  Cmd_End
  0.00    141.67     0.00        1     0.00     0.00  Cmd_HistoryRead
  0.00    141.67     0.00        1     0.00     0.00  Cmd_HistoryWrite
  0.00    141.67     0.00        1     0.00     0.00  Cmd_Init
  0.00    141.67     0.00        1     0.00     0.00  Cnf_ManFree
  0.00    141.67     0.00        1     0.00     0.00  Cudd_AutodynEnable
  0.00    141.67     0.00        1     0.00     0.00  Cudd_ReorderingStatus
